pps,bps,avg_pkt_size,total_packets,total_bytes,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,synack_ratio,rst_ratio,syn_count,ack_count,rst_count,fin_count,unique_src_ips,top_ip_ratio,unique_dst_ports,unique_src_ports,iat_mean,iat_std,window_duration,label
53.05,10407.85,196.18,523,102601,1.0,0.0,0.0,0.0,1.0,0.0,0,523,0,131,2,0.5067,136,158,0.01941,0.272531,9.86,attack
81.83,13259.1,162.02,478,77447,1.0,0.0,0.0,0.0,0.9038,0.0962,0,432,46,89,2,0.5293,137,166,0.013237,0.233861,5.84,attack
70.31,14010.31,199.26,610,121551,1.0,0.0,0.0,0.0,1.0,0.0,0,610,0,156,2,0.518,161,183,0.014711,0.218443,8.68,attack
0.07,3.9,60.0,1,60,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.0,0.0,15.38,attack
15.76,803.68,51.0,80,4080,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.5,1,1,9.2e-05,0.000528,5.08,attack
19.97,1137.27,56.94,100,5694,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.83,1,1,0.046089,0.070018,5.01,attack
20.59,1235.17,60.0,103,6180,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.055589,0.056945,5.0,attack
20.47,1228.2,60.0,103,6180,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.049113,0.051909,5.03,attack
22.96,1377.32,60.0,115,6900,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.047093,0.043642,5.01,attack
19.16,1149.46,60.0,96,5760,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.044206,0.046065,5.01,attack
19.66,1172.3,59.64,99,5904,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.9798,1,1,0.057248,0.058032,5.04,attack
15.03,901.79,60.0,77,4620,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.050372,0.067007,5.12,attack
21.96,1317.85,60.0,110,6600,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.068217,0.068046,5.01,attack
27.33,1639.79,60.0,138,8280,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.042218,0.044511,5.05,attack
23.19,1391.12,60.0,117,7020,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.040195,0.03575,5.05,attack
16.61,996.68,60.0,84,5040,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.045184,0.055014,5.06,attack
18.65,1118.89,60.0,94,5640,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.053825,0.049785,5.04,attack
14.98,899.0,60.0,75,4500,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.061962,0.058498,5.01,attack
18.95,1133.52,59.81,95,5682,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.9895,1,1,0.057784,0.069185,5.01,attack
23.84,1430.41,60.0,121,7260,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.057976,0.058487,5.08,attack
28.84,1726.87,59.88,147,8802,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.9932,1,1,0.044602,0.046451,5.1,attack
23.15,1389.24,60.0,120,7200,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.031937,0.03277,5.18,attack
13.86,831.85,60.0,70,4200,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.040062,0.044951,5.05,attack
18.45,1107.16,60.0,94,5640,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.071252,0.086596,5.09,attack
19.93,1195.54,60.0,101,6060,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.051999,0.047667,5.07,attack
13.15,788.8,60.0,66,3960,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.055279,0.075755,5.02,attack
19.09,1145.24,60.0,96,5760,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.069731,0.067675,5.03,attack
26.58,1595.02,60.0,135,8100,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.051976,0.048239,5.08,attack
30.6,1821.61,59.53,154,9168,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.974,1,1,0.032988,0.048966,5.03,attack
18.33,1081.82,59.03,93,5490,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.9462,1,1,0.040964,0.047823,5.07,attack
14.93,892.38,59.76,75,4482,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.9867,1,1,0.039703,0.062865,5.02,attack
10.83,649.66,60.0,55,3300,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.082895,0.085227,5.08,attack
17.6,1052.72,59.8,89,5322,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,2,0.9888,1,1,0.076833,0.082604,5.06,attack
15.76,945.66,60.0,79,4740,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.067421,0.069793,5.01,attack
25.28,1516.88,60.0,127,7620,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1.0,1,1,0.068359,0.114406,5.02,attack
